rowNum,Property_Unique_Number,Version_Number,Address,Price,Bed_Rooms,Property_Type,Property_Url,Agent_Name,Property_Status,Status_Date,Featured,Run_Date,Location
4481,86236311,2,"Park Mead, Harrow",550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/86236311#/?channel=RES_BUY,"Brian Cox, Harrow",UNDER OFFER,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4391,86465547,2,"Dudley Gardens, Harrow, HA2",575000,3,Terraced,https://www.rightmove.co.uk/properties/86465547#/?channel=RES_BUY,"Purplebricks, covering Harrow",UNDER OFFER,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4383,86545017,2,"Eastcote Lane, Harrow, HA2 8DH",675000,4,Semi-Detached,https://www.rightmove.co.uk/properties/86545017#/?channel=RES_BUY,"David Conway & Co, South Harrow - Sales",SOLD STC,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4437,86607351,4,"Beverley Road, Ruislip",775000,4,Semi-Detached,https://www.rightmove.co.uk/properties/86607351#/?channel=RES_BUY,"Gibson Honey, Ruislip Manor",Reduced,2023-10-26,,2023-10-30,"Pinner, Middlesex"
4435,86607351,2,"Beverley Road, Ruislip",775000,4,Semi-Detached,https://www.rightmove.co.uk/properties/86607351#/?channel=RES_BUY,"Gibson Honey, Ruislip Manor",Reduced,2023-10-26,,2023-10-30,"Pinner, Middlesex"
4436,86607351,3,"Beverley Road, Ruislip",790000,4,Semi-Detached,https://www.rightmove.co.uk/properties/86607351#/?channel=RES_BUY,"Gibson Honey, Ruislip Manor",Reduced,2023-10-26,,2023-10-30,"Pinner, Middlesex"
4374,109600628,8,"Bury Street, Ruislip",775000,4,Detached,https://www.rightmove.co.uk/properties/109600628#/?channel=RES_BUY,"Coopers, Ruislip",SOLD STC,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4446,130719581,5,"Tewkesbury Avenue, Pinner, HA5",700000,4,Semi-Detached,https://www.rightmove.co.uk/properties/130719581#/?channel=RES_BUY,"Rawlinson Gold, Pinner",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4479,131235749,3,"Sherwood Road, Harrow",550000,3,Detached,https://www.rightmove.co.uk/properties/131235749#/?channel=RES_BUY,"Andrew Pearce, Harrow",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4429,132629750,2,"Woodhall Drive, Pinner, HA5 4TG",825000,3,House,https://www.rightmove.co.uk/properties/132629750#/?channel=RES_BUY,"Hunters, Hayes",Reduced,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4452,132874379,4,"Umpire View, Harrow, HA1",700000,3,Semi-Detached,https://www.rightmove.co.uk/properties/132874379#/?channel=RES_BUY,"Purplebricks, covering Harrow",Reduced,2023-10-26,,2023-10-30,"Pinner, Middlesex"
4474,133225352,6,"Victoria Road, Ruislip Manor, Middlesex",575000,3,End of Terrace,https://www.rightmove.co.uk/properties/133225352#/?channel=RES_BUY,"Gibbs Gillespie, Ruislip Manor",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4433,134725487,2,"Furness Road, Harrow",795000,4,Semi-Detached,https://www.rightmove.co.uk/properties/134725487#/?channel=RES_BUY,"Brian Cox, North Harrow",UNDER OFFER,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4412,135153602,3,Northwood,990000,4,Detached,https://www.rightmove.co.uk/properties/135153602#/?channel=RES_BUY,"Robsons, Northwood - Sales",Reduced,2023-10-25,,2023-10-30,"Pinner, Middlesex"
4494,135261806,2,"Crimsworth Road, SW8",900000,3,House,https://www.rightmove.co.uk/properties/135261806#/?channel=RES_BUY,"Keating Estates, Clapham",SOLD STC,2023-11-02,,2023-11-02,Nine Elms Station
4404,136024412,3,"Furham Feild, Hatch End, Pinner, HA5",1195000,4,Semi-Detached,https://www.rightmove.co.uk/properties/136024412#/?channel=RES_BUY,"Robsons, Pinner",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4415,136254275,3,"Boston Grove, Ruislip",925000,3,Detached,https://www.rightmove.co.uk/properties/136254275#/?channel=RES_BUY,"Coopers, Ruislip",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4408,136320983,4,"Farm Way, Northwood, Middlesex",1100000,3,Detached,https://www.rightmove.co.uk/properties/136320983#/?channel=RES_BUY,"Gibbs Gillespie, Northwood Sales",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4448,136473476,3,"Rayners Lane, Pinner, Middlesex, HA5",700000,3,Semi-Detached,https://www.rightmove.co.uk/properties/136473476#/?channel=RES_BUY,"Rawlinson Gold, Pinner",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4420,136582379,2,"Vicarage Way, Harrow Garden Village",880000,5,Semi-Detached,https://www.rightmove.co.uk/properties/136582379#/?channel=RES_BUY,"David Charles, Pinner",Reduced,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4476,136607099,4,"Torcross Road, Ruislip, HA4",569000,4,Terraced,https://www.rightmove.co.uk/properties/136607099#/?channel=RES_BUY,"Lawrence Rand, Ruislip",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4486,136607321,3,"Queens Walk, Ruislip, HA4",550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/136607321#/?channel=RES_BUY,"Lawrence Rand, Ruislip",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4456,136607375,4,"Shaldon Drive, Ruislip, HA4",675000,4,End of Terrace,https://www.rightmove.co.uk/properties/136607375#/?channel=RES_BUY,"Lawrence Rand, Ruislip",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4434,137003339,3,"West Avenue, Pinner, HA5",795000,3,Semi-Detached,https://www.rightmove.co.uk/properties/137003339#/?channel=RES_BUY,"Robsons, Pinner",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4367,137019809,4,"Lime Grove, Ruislip",800000,4,Semi-Detached,https://www.rightmove.co.uk/properties/137019809#/?channel=RES_BUY,"Allday & Miller, Uxbridge",SOLD STC,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4417,137191241,3,"Wellington Close, Watford, WD19",865000,4,Detached,https://www.rightmove.co.uk/properties/137191241#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2023-10-26,,2023-10-30,"Pinner, Middlesex"
4418,137191241,4,"Wellington Close, Watford, WD19",899950,4,Detached,https://www.rightmove.co.uk/properties/137191241#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2023-10-26,,2023-10-30,"Pinner, Middlesex"
4399,137296160,3,"South View Road, Pinner, HA5",1995000,3,Detached,https://www.rightmove.co.uk/properties/137296160#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2023-10-28,,2023-10-30,"Pinner, Middlesex"
4488,137359988,2,"Knoll Crescent, Northwood, HA6",550000,3,Terraced,https://www.rightmove.co.uk/properties/137359988#/?channel=RES_BUY,"Coopers, Pinner",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4472,137366915,2,"Binyon Crescent, Stanmore, Middlesex",575000,5,Semi-Detached,https://www.rightmove.co.uk/properties/137366915#/?channel=RES_BUY,"Gibbs Gillespie, Stanmore Sales",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4475,137459186,4,"Brookshill Avenue, Harrow, Middlesex",570000,3,Semi-Detached,https://www.rightmove.co.uk/properties/137459186#/?channel=RES_BUY,"Gibbs Gillespie, Stanmore Sales",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4465,137508578,3,"Barmor Close Harrow, HA2 6NX",600000,3,Semi-Detached,https://www.rightmove.co.uk/properties/137508578#/?channel=RES_BUY,"David Conway & Co, South Harrow - Sales",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4483,137594549,2,"Drake Road, Harrow, Middlesex",550000,3,End of Terrace,https://www.rightmove.co.uk/properties/137594549#/?channel=RES_BUY,"Gibbs Gillespie, Harrow Sales",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4459,137713517,8,"Warrington Road, Harrow",650000,3,End of Terrace,https://www.rightmove.co.uk/properties/137713517#/?channel=RES_BUY,"Rawlinson Gold, Harrow Town Centre - Sales",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4407,137965571,3,"Acacia Avenue, Ruislip",1125000,5,Detached,https://www.rightmove.co.uk/properties/137965571#/?channel=RES_BUY,"Gibbs Gillespie, Ruislip Sales",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4443,138092630,3,"Cornwall Road, Ruislip, HA4",749950,4,End of Terrace,https://www.rightmove.co.uk/properties/138092630#/?channel=RES_BUY,"Lawrence Rand, Ruislip",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4390,138112340,3,"Parkfield Crescent, Ruislip, HA4",599950,3,Semi-Detached,https://www.rightmove.co.uk/properties/138112340#/?channel=RES_BUY,"Lawrence Rand, Ruislip",Reduced,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4358,138115508,3,"West Towers, Pinner",925000,3,Semi-Detached,https://www.rightmove.co.uk/properties/138115508#/?channel=RES_BUY,"David Charles, Pinner",SOLD STC,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4503,138230978,2,"Walton Close, London SW8",750000,4,Terraced,https://www.rightmove.co.uk/properties/138230978#/?channel=RES_BUY,"ludlowthompson, Kennington Oval - Sales",UNDER OFFER,2023-11-02,,2023-11-02,Nine Elms Station
4406,138384044,3,"Hillview Road, Hatch End",1185000,5,Detached,https://www.rightmove.co.uk/properties/138384044#/?channel=RES_BUY,"Robertson Phillips, Hatch End",Reduced,2023-10-26,,2023-10-30,"Pinner, Middlesex"
4393,138548183,4,"Beatrice Close, Pinner, HA5",550000,4,End of Terrace,https://www.rightmove.co.uk/properties/138548183#/?channel=RES_BUY,"Lawrence Rand, Ruislip",Reduced,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4421,138619307,2,"College Drive, Ruislip, Middlesex",870000,3,Detached,https://www.rightmove.co.uk/properties/138619307#/?channel=RES_BUY,"Gibbs Gillespie, Ruislip Sales",Reduced,2023-10-25,,2023-10-30,"Pinner, Middlesex"
4377,138668456,2,"Crescent Gardens, Eastcote , Ruislip",750000,3,Semi-Detached,https://www.rightmove.co.uk/properties/138668456#/?channel=RES_BUY,"Andrew Pearce, Eastcote",Reduced,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4397,138815390,2,"The Fairway, Ruislip, HA4",550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/138815390#/?channel=RES_BUY,"Robert Cooper & Co, Ruislip",SOLD STC,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4386,138903677,2,"Torcross Road, Ruislip",650000,4,Terraced,https://www.rightmove.co.uk/properties/138903677#/?channel=RES_BUY,"Gibbs Gillespie, Ruislip Manor",Reduced,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4360,138974891,3,"Kings Way, Harrow",850000,5,Detached,https://www.rightmove.co.uk/properties/138974891#/?channel=RES_BUY,"Gibbs Gillespie, Harrow Sales",SOLD STC,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4423,139112060,7,"The Croft, Pinner, Middlesex",850000,3,Detached,https://www.rightmove.co.uk/properties/139112060#/?channel=RES_BUY,"Gibbs Gillespie, Pinner Sales",Reduced,2023-10-27,,2023-10-30,"Pinner, Middlesex"
4422,139112060,6,"The Croft, Pinner, Middlesex",900000,3,Detached,https://www.rightmove.co.uk/properties/139112060#/?channel=RES_BUY,"Gibbs Gillespie, Pinner Sales",Reduced,2023-10-27,,2023-10-30,"Pinner, Middlesex"
4362,139112060,5,"The Croft, Pinner, Middlesex",850000,3,Detached,https://www.rightmove.co.uk/properties/139112060#/?channel=RES_BUY,"Gibbs Gillespie, Pinner Sales",Reduced,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4438,139112795,3,"Cranley Drive, Ruislip, HA4",775000,3,Detached,https://www.rightmove.co.uk/properties/139112795#/?channel=RES_BUY,"Lawrence Rand, Ruislip",Reduced,2023-10-25,,2023-10-30,"Pinner, Middlesex"
4369,139181207,3,"Elms Road, Harrow, Middlesex, HA3 6BT",780000,5,Semi-Detached,https://www.rightmove.co.uk/properties/139181207#/?channel=RES_BUY,"Benjamin Stevens, Edgware",Reduced,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4413,139186421,2,"Cranbourne Drive, Pinner",980000,4,Semi-Detached,https://www.rightmove.co.uk/properties/139186421#/?channel=RES_BUY,"David Charles, Pinner",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4400,139254938,3,"Pinner Hill, Pinner, Middlesex, HA5",1800000,4,Detached,https://www.rightmove.co.uk/properties/139254938#/?channel=RES_BUY,"Savills, Northwood",UNDER OFFER,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4439,139336193,2,"Chester Road, Northwood, Middlesex, HA6",770000,3,Detached,https://www.rightmove.co.uk/properties/139336193#/?channel=RES_BUY,"Savills, Northwood",Reduced,2023-10-27,,2023-10-30,"Pinner, Middlesex"
4501,139357295,3,"Walton Close, London SW8",750000,4,Terraced,https://www.rightmove.co.uk/properties/139357295#/?channel=RES_BUY,"ludlowthompson, Kennington Oval - Sales",UNDER OFFER,2023-11-02,,2023-11-02,Nine Elms Station
4471,139483922,2,"Pinner Road, Pinner",575000,3,Terraced,https://www.rightmove.co.uk/properties/139483922#/?channel=RES_BUY,"Brian Cox, North Harrow",Reduced,2023-10-26,,2023-10-30,"Pinner, Middlesex"
4403,139509089,3,"West End Lane, Pinner, Middlesex",1200000,4,Detached,https://www.rightmove.co.uk/properties/139509089#/?channel=RES_BUY,"Gibbs Gillespie, Pinner Sales",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4461,139660427,2,"Argyle Road, Harrow",650000,3,Semi-Detached,https://www.rightmove.co.uk/properties/139660427#/?channel=RES_BUY,"Brian Cox, North Harrow",UNDER OFFER,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4385,139703132,6,"Vivian Gardens, Oxhey Hall, Watford",675000,4,Semi-Detached,https://www.rightmove.co.uk/properties/139703132#/?channel=RES_BUY,"Gibbs Gillespie, Northwood Sales",Reduced,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4457,139853192,2,"Sherington Avenue, Pinner",671000,3,Semi-Detached,https://www.rightmove.co.uk/properties/139853192#/?channel=RES_BUY,"Yopa, London",Reduced,2023-10-24,,2023-10-30,"Pinner, Middlesex"
4411,139875347,2,"Blythwood Road, Pinner",1000000,4,Detached,https://www.rightmove.co.uk/properties/139875347#/?channel=RES_BUY,"David Charles, Pinner",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4466,140109341,2,"Whitegate Gardens, Harrow, Middlesex",595000,3,Semi-Detached,https://www.rightmove.co.uk/properties/140109341#/?channel=RES_BUY,"Gibbs Gillespie, Stanmore Sales",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4380,140164892,2,"Kynaston Close, Harrow, HA3",725000,3,Semi-Detached,https://www.rightmove.co.uk/properties/140164892#/?channel=RES_BUY,"Stone Butters Residential, Stanmore",Reduced,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4357,140402687,3,"Park Avenue, Ruislip",1100000,4,Detached,https://www.rightmove.co.uk/properties/140402687#/?channel=RES_BUY,"Coopers, Ruislip",SOLD STC,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4427,140514377,2,"Woodhall Drive, Pinner, Middlesex",825000,3,Semi-Detached,https://www.rightmove.co.uk/properties/140514377#/?channel=RES_BUY,"Gibbs Gillespie, Pinner Sales",Reduced,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4352,140527466,2,"Bellfield Avenue, Harrow Weald, HA3",1850000,5,Detached,https://www.rightmove.co.uk/properties/140527466#/?channel=RES_BUY,"Hamptons Prime Sales, Stanmore",UNDER OFFER,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4470,140747729,2,"Marthorne Crescent, Harrow, Middlesex HA3",555000,3,Terraced,https://www.rightmove.co.uk/properties/140747729#/?channel=RES_BUY,"Hilton & Fox, Harrow",Reduced,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4409,140955146,2,"Hillview Road, Hatch End, Pinner, HA5",1060000,4,Detached,https://www.rightmove.co.uk/properties/140955146#/?channel=RES_BUY,"Robsons, Pinner",UNDER OFFER,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4372,141219089,1,"Old South Close, Pinner",775000,3,Semi-Detached,https://www.rightmove.co.uk/properties/141219089#/?channel=RES_BUY,"Yopa, East Anglia",Initial entry,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4373,141219089,2,"Old South Close, Pinner",775000,3,Semi-Detached,https://www.rightmove.co.uk/properties/141219089#/?channel=RES_BUY,"Yopa, East Anglia",SOLD STC,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4387,141219152,1,"Hangar Ruding, Watford",640000,4,Detached,https://www.rightmove.co.uk/properties/141219152#/?channel=RES_BUY,"Yopa, East Anglia",Initial entry,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4363,141220235,1,"Lowick Road, Harrow",850000,4,Detached,https://www.rightmove.co.uk/properties/141220235#/?channel=RES_BUY,"Connells, Harrow",Initial entry,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4359,141221036,1,"Joel Street, Pinner",925000,4,Semi-Detached,https://www.rightmove.co.uk/properties/141221036#/?channel=RES_BUY,"Coopers, Pinner",Initial entry,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4366,141221801,2,"Northumberland Road, Harrow",835000,4,Semi-Detached,https://www.rightmove.co.uk/properties/141221801#/?channel=RES_BUY,"Brian Cox, North Harrow",UNDER OFFER,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4365,141221801,1,"Northumberland Road, Harrow",835000,4,Semi-Detached,https://www.rightmove.co.uk/properties/141221801#/?channel=RES_BUY,"Brian Cox, North Harrow",Initial entry,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4381,141222092,1,"Fire Brigade Cottages, Pinner Road, Pinner",700000,5,End of Terrace,https://www.rightmove.co.uk/properties/141222092#/?channel=RES_BUY,"Gibbs Gillespie, Pinner Sales",Initial entry,2023-10-24,,2023-10-24,"Pinner, Middlesex"
4414,141229736,1,"St. Margarets Road, Ruislip",925000,4,Semi-Detached,https://www.rightmove.co.uk/properties/141229736#/?channel=RES_BUY,"Coopers, Ruislip",Initial entry,2023-10-24,,2023-10-30,"Pinner, Middlesex"
4426,141248345,1,"Raynton Close, Harrow, HA2 9TD",849950,5,Semi-Detached,https://www.rightmove.co.uk/properties/141248345#/?channel=RES_BUY,"David Charles, Pinner",Initial entry,2023-10-25,,2023-10-30,"Pinner, Middlesex"
4410,141264968,1,"Greystoke Avenue, Pinner, HA5",1050000,5,Semi-Detached,https://www.rightmove.co.uk/properties/141264968#/?channel=RES_BUY,"Robsons, Pinner",Initial entry,2023-10-25,,2023-10-30,"Pinner, Middlesex"
4416,141267728,1,"Deerings Drive, Pinner, Middlesex",925000,4,Detached,https://www.rightmove.co.uk/properties/141267728#/?channel=RES_BUY,"Gibbs Gillespie, Ruislip Sales",Initial entry,2023-10-25,,2023-10-30,"Pinner, Middlesex"
4405,141294809,1,"Pinner Road, Northwood, HA6",1195000,4,Terraced,https://www.rightmove.co.uk/properties/141294809#/?channel=RES_BUY,"Chestertons, Capital Markets",Initial entry,2023-10-26,,2023-10-30,"Pinner, Middlesex"
4444,141294875,1,"Victoria Road, South Ruislip, Middlesex",725000,5,End of Terrace,https://www.rightmove.co.uk/properties/141294875#/?channel=RES_BUY,"Gibbs Gillespie, Ruislip Manor",Initial entry,2023-10-26,,2023-10-30,"Pinner, Middlesex"
4462,141299348,1,"Whitegate Gardens, HARROW, HA3",650000,4,Semi-Detached,https://www.rightmove.co.uk/properties/141299348#/?channel=RES_BUY,"Mischa & Co, Edgware",Initial entry,2023-10-26,,2023-10-30,"Pinner, Middlesex"
4432,141304532,1,"Boldmere Road, Eastcote, Pinner HA5",795000,3,Semi-Detached,https://www.rightmove.co.uk/properties/141304532#/?channel=RES_BUY,"Robsons, Pinner",Initial entry,2023-10-26,,2023-10-30,"Pinner, Middlesex"
4468,141304739,1,"Ravenswood Crescent, Harrow HA2",580000,3,End of Terrace,https://www.rightmove.co.uk/properties/141304739#/?channel=RES_BUY,"ElliotLee, Rayners Lane",Initial entry,2023-10-26,,2023-10-30,"Pinner, Middlesex"
4445,141313220,1,"Sylvia Avenue, Hatch End, Middlesex",725000,3,Semi-Detached,https://www.rightmove.co.uk/properties/141313220#/?channel=RES_BUY,"Gibbs Gillespie, Pinner Sales",Initial entry,2023-10-26,,2023-10-30,"Pinner, Middlesex"
4467,141324296,1,"Kings Road, Rayners Lane, Harrow, HA2",590000,3,Terraced,https://www.rightmove.co.uk/properties/141324296#/?channel=RES_BUY,"Foxtons, Harrow",Initial entry,2023-10-26,,2023-10-30,"Pinner, Middlesex"
4442,141339395,1,"Coppice Close, Ruislip, Middlesex",750000,3,Semi-Detached,https://www.rightmove.co.uk/properties/141339395#/?channel=RES_BUY,"Gibbs Gillespie, Ruislip Sales",Initial entry,2023-10-27,,2023-10-30,"Pinner, Middlesex"
4402,141348425,1,"Starling Close, Pinner",1445000,5,Detached,https://www.rightmove.co.uk/properties/141348425#/?channel=RES_BUY,"Andrew Pearce, Eastcote",Initial entry,2023-10-27,,2023-10-30,"Pinner, Middlesex"
4447,141349601,1,"Weighton Road, Harrow, HA3",700000,5,Semi-Detached,https://www.rightmove.co.uk/properties/141349601#/?channel=RES_BUY,"Cow & Co, London",Initial entry,2023-10-27,,2023-10-30,"Pinner, Middlesex"
4425,141359882,1,"Eastcote Road, Ruislip, Middlesex",850000,3,Detached,https://www.rightmove.co.uk/properties/141359882#/?channel=RES_BUY,"Gibbs Gillespie, Ruislip Sales",Initial entry,2023-10-27,,2023-10-30,"Pinner, Middlesex"
4454,141363959,1,"Whiteheath Avenue, Ruislip, Middlesex",700000,4,Semi-Detached,https://www.rightmove.co.uk/properties/141363959#/?channel=RES_BUY,"Gibbs Gillespie, Ruislip Sales",Initial entry,2023-10-27,,2023-10-30,"Pinner, Middlesex"
4440,141365675,1,"Eastern Avenue, Pinner, HA5",750000,4,Semi-Detached,https://www.rightmove.co.uk/properties/141365675#/?channel=RES_BUY,"Robert Cooper & Co, Eastcote",Initial entry,2023-10-27,,2023-10-30,"Pinner, Middlesex"
4431,141375557,1,"Manor Way, Harrow, HA2",800000,4,Semi-Detached,https://www.rightmove.co.uk/properties/141375557#/?channel=RES_BUY,"Hopcroft Property Experts, Covering Hertfordshire and Middlesex",Initial entry,2023-10-27,,2023-10-30,"Pinner, Middlesex"
4430,141375611,1,"Eastcote Road, Pinner",800000,3,Detached,https://www.rightmove.co.uk/properties/141375611#/?channel=RES_BUY,"Hopcroft Property Experts, Covering Hertfordshire and Middlesex",Initial entry,2023-10-27,,2023-10-30,"Pinner, Middlesex"
4419,141384347,1,"Kingsfield Avenue, Harrow, HA2 6AQ",894950,5,Semi-Detached,https://www.rightmove.co.uk/properties/141384347#/?channel=RES_BUY,"eXp UK, London",Initial entry,2023-10-28,,2023-10-30,"Pinner, Middlesex"
4424,141411104,1,"Oxhey Grange, Oxhey Lane, Watford, Hertfordshire, WD19",850000,3,Detached,https://www.rightmove.co.uk/properties/141411104#/?channel=RES_BUY,"Savills, Northwood",Initial entry,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4473,141417701,1,"Bruce Road, Harrow, Middlesex HA3",575000,3,Terraced,https://www.rightmove.co.uk/properties/141417701#/?channel=RES_BUY,"Hilton & Fox, Harrow",Initial entry,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4453,141418625,1,"Village Way, Pinner, HA5",700000,3,Semi-Detached,https://www.rightmove.co.uk/properties/141418625#/?channel=RES_BUY,"Robsons, Pinner",Initial entry,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4458,141419783,1,"Bethecar Road, Harrow, Middlesex, HA1 1SE",670000,3,Semi-Detached,https://www.rightmove.co.uk/properties/141419783#/?channel=RES_BUY,"Rouge Property, Harrow",Initial entry,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4464,141421604,2,"Hangar Ruding, Watford",640000,4,Detached,https://www.rightmove.co.uk/properties/141421604#/?channel=RES_BUY,"Yopa, London",SOLD STC,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4463,141421604,1,"Hangar Ruding, Watford",640000,4,Detached,https://www.rightmove.co.uk/properties/141421604#/?channel=RES_BUY,"Yopa, London",Initial entry,2023-10-30,,2023-10-30,"Pinner, Middlesex"
4505,141532643,1,"Langland Drive, Pinner, HA5",800000,4,Detached,https://www.rightmove.co.uk/properties/141532643#/?channel=RES_BUY,"Robsons, Pinner",Initial entry,2023-11-01,,2023-11-02,"Pinner, Middlesex"
